DEST,CODE,DISTANCE
Argentina Mobile,005422295,int mobile
Argentina Mobile,005422331,int mobile
Argentina Mobile,00542234,int mobile
Argentina Mobile,005422350,int mobile
Argentina Mobile,00542236,int mobile
Argentina Mobile,0054224,int mobile
Argentina Mobile,0054225,int mobile
Argentina Mobile,0054226,int mobile
Argentina Mobile,00542271492,int mobile
Argentina Mobile,00542272412,int mobile
Argentina Mobile,00542272413,int mobile
Argentina Mobile,00542272415,int mobile
Argentina Mobile,00542272419,int mobile
Argentina Mobile,00542272499,int mobile
Argentina Mobile,00542273415,int mobile
Argentina Mobile,00542273419,int mobile
Argentina Mobile,00542274407,int mobile
Argentina Mobile,00542274408,int mobile
Argentina Mobile,00542274490,int mobile
Argentina Mobile,0054228,int mobile
Argentina Mobile,0054229,int mobile
Argentina Mobile,005423023,int mobile
Argentina Mobile,005423024,int mobile
Argentina Mobile,005423025,int mobile
Argentina Mobile,005423042,int mobile
Argentina Mobile,005423044,int mobile
Argentina Mobile,005423045,int mobile
Argentina Mobile,0054231,int mobile
Argentina Mobile,005423202,int mobile
Argentina Mobile,005423203,int mobile
Argentina Mobile,005423204,int mobile
Argentina Mobile,005423205,int mobile
Argentina Mobile,005423206,int mobile
Argentina Mobile,005423232,int mobile
Argentina Mobile,005423233,int mobile
Argentina Mobile,005423234,int mobile
Argentina Mobile,005423235,int mobile
Argentina Mobile,005423244,int mobile
Argentina Mobile,005423254,int mobile
Argentina Mobile,005423264,int mobile
Argentina Mobile,0054233,int mobile
Argentina Mobile,0054234,int mobile
Argentina Mobile,0054235,int mobile
Argentina Mobile,005423642,int mobile
Argentina Mobile,005423644,int mobile
Argentina Mobile,005423645,int mobile
Argentina Mobile,005423741,int mobile
Argentina Mobile,005423742,int mobile
Argentina Mobile,005423749,int mobile
Argentina Mobile,0054239,int mobile
Argentina Mobile,0054247,int mobile
Argentina Mobile,005424942,int mobile
Argentina Mobile,005424943,int mobile
Argentina Mobile,005424944,int mobile
Argentina Mobile,0054260,int mobile
Argentina Mobile,005426121,int mobile
Argentina Mobile,005426126,int mobile
Argentina Mobile,00542613,int mobile
Argentina Mobile,00542614,int mobile
Argentina Mobile,005426160,int mobile
Argentina Mobile,005426162,int mobile
Argentina Mobile,0054262,int mobile
Argentina Mobile,0054263,int mobile
Argentina Mobile,0054264,int mobile
Argentina Mobile,0054265,int mobile
Argentina Mobile,0054266,int mobile
Argentina Mobile,0054280,int mobile
Argentina Mobile,0054290,int mobile
Argentina Mobile,00542914,int mobile
Argentina Mobile,00542915,int mobile
Argentina Mobile,0054292,int mobile
Argentina Mobile,0054293,int mobile
Argentina Mobile,0054294,int mobile
Argentina Mobile,0054295,int mobile
Argentina Mobile,0054296,int mobile
Argentina Mobile,0054297,int mobile
Argentina Mobile,0054298,int mobile
Argentina Mobile,00542994,int mobile
Argentina Mobile,00542995,int mobile
Argentina Mobile,005429961,int mobile
Argentina Mobile,005429963,int mobile
Argentina Mobile,005429965,int mobile
Argentina Mobile,005429967,int mobile
Argentina Mobile,005433294,int mobile
Argentina Mobile,005433641,int mobile
Argentina Mobile,005433642,int mobile
Argentina Mobile,005433644,int mobile
Argentina Mobile,0054338,int mobile
Argentina Mobile,0054340,int mobile
Argentina Mobile,00543412,int mobile
Argentina Mobile,00543414,int mobile
Argentina Mobile,005434173,int mobile
Argentina Mobile,00543424,int mobile
Argentina Mobile,005434257,int mobile
Argentina Mobile,005434263,int mobile
Argentina Mobile,00543434,int mobile
Argentina Mobile,005434352,int mobile
Argentina Mobile,005434354,int mobile
Argentina Mobile,005434364,int mobile
Argentina Mobile,005434374,int mobile
Argentina Mobile,005434384,int mobile
Argentina Mobile,0054344,int mobile
Argentina Mobile,0054345,int mobile
Argentina Mobile,0054346,int mobile
Argentina Mobile,00543464450,int mobile
Argentina Mobile,00543464451,int mobile
Argentina Mobile,00543464454,int mobile
Argentina Mobile,00543464456,int mobile
Argentina Mobile,00543464459,int mobile
Argentina Mobile,0054347,int mobile
Argentina Mobile,005434823,int mobile
Argentina Mobile,005434824,int mobile
Argentina Mobile,005434826,int mobile
Argentina Mobile,005434834,int mobile
Argentina Mobile,005434842,int mobile
Argentina Mobile,005434844,int mobile
Argentina Mobile,005434874,int mobile
Argentina Mobile,005434875,int mobile
Argentina Mobile,005434894,int mobile
Argentina Mobile,005434895,int mobile
Argentina Mobile,0054349,int mobile
Argentina Mobile,00543514,int mobile
Argentina Mobile,005435164,int mobile
Argentina Mobile,005435165,int mobile
Argentina Mobile,00543517,int mobile
Argentina Mobile,005435183,int mobile
Argentina Mobile,0054352,int mobile
Argentina Mobile,005435324,int mobile
Argentina Mobile,005435334,int mobile
Argentina Mobile,00543534,int mobile
Argentina Mobile,00543535,int mobile
Argentina Mobile,005435374,int mobile
Argentina Mobile,0054354,int mobile
Argentina Mobile,0054356,int mobile
Argentina Mobile,0054357,int mobile
Argentina Mobile,005435824,int mobile
Argentina Mobile,005435834,int mobile
Argentina Mobile,00543584,int mobile
Argentina Mobile,005435850,int mobile
Argentina Mobile,005435854,int mobile
Argentina Mobile,005436241,int mobile
Argentina Mobile,005436244,int mobile
Argentina Mobile,005436245,int mobile
Argentina Mobile,005436253,int mobile
Argentina Mobile,0054364,int mobile
Argentina Mobile,0054370,int mobile
Argentina Mobile,0054371,int mobile
Argentina Mobile,005437214,int mobile
Argentina Mobile,005437254,int mobile
Argentina Mobile,0054373,int mobile
Argentina Mobile,0054374,int mobile
Argentina Mobile,0054375,int mobile
Argentina Mobile,0054376,int mobile
Argentina Mobile,0054377,int mobile
Argentina Mobile,0054378,int mobile
Argentina Mobile,005437941,int mobile
Argentina Mobile,005437944,int mobile
Argentina Mobile,005437949,int mobile
Argentina Mobile,005437954,int mobile
Argentina Mobile,0054380,int mobile
Argentina Mobile,00543813,int mobile
Argentina Mobile,00543814,int mobile
Argentina Mobile,0054382,int mobile
Argentina Mobile,0054383,int mobile
Argentina Mobile,0054384,int mobile
Argentina Mobile,0054385,int mobile
Argentina Mobile,0054386,int mobile
Argentina Mobile,0054387,int mobile
Argentina Mobile,0054388,int mobile
Argentina Mobile,0054389,int mobile
Argentina Mobile,0054670,int mobile
Argentina Mobile,0054675,int mobile
Argentina Mobile,00549,int mobile
Armenia,00374,int fixed
Armenia Mobile,003744,int mobile
Armenia Mobile,0037460,int mobile
Armenia Mobile,003747,int mobile
Armenia Mobile,0037488,int mobile
Armenia Mobile,003749,int mobile
Armenia Mobile Orange,0037455,int mobile
Armenia Mobile Orange,0037495,int mobile
Aruba,00297,int fixed
Aruba Mobile,00297290,int mobile
Aruba Mobile,002975,int mobile
Aruba Mobile,002976,int mobile
Aruba Mobile,002977,int mobile
Aruba Mobile,002979,int mobile
Ascension,00247,int fixed
Australia,0061,int fixed
Australia Brisbane,006173,int fixed
Australia Melbourne,006138,int fixed
Australia Melbourne,006139,int fixed
Australia Mobile,0061071,int mobile
Australia Mobile,006114,int mobile
Australia Mobile,006115,int mobile
Australia Mobile,006116,int mobile
Australia Mobile,006117,int mobile
Australia Mobile,006119,int mobile
Australia Mobile,00614,int mobile
Australia Mobile,00615,int mobile
Australia Mobile Lycamobile,0061469,int mobile
Australia Mobile Lycamobile,0061470,int mobile
Australia Mobile Telstra,0061400,int mobile
Australia Mobile Telstra,0061407,int mobile
Australia Mobile Telstra,0061408,int mobile
Australia Mobile Telstra,0061409,int mobile
Australia Mobile Telstra,0061417,int mobile
Australia Mobile Telstra,0061418,int mobile
Australia Mobile Telstra,0061419,int mobile
Australia Mobile Telstra,0061427,int mobile
Australia Mobile Telstra,0061428,int mobile
Australia Mobile Telstra,0061429,int mobile
Australia Mobile Telstra,0061436,int mobile
Australia Mobile Telstra,0061437,int mobile
Australia Mobile Telstra,0061438,int mobile
Australia Mobile Telstra,0061439,int mobile
Australia Mobile Telstra,00614444,int mobile
Australia Mobile Telstra,00614445,int mobile
Australia Mobile Telstra,0061447,int mobile
Australia Mobile Telstra,0061448,int mobile
Australia Mobile Telstra,0061455,int mobile
Australia Mobile Telstra,0061456,int mobile
Australia Mobile Telstra,0061457,int mobile
Australia Mobile Telstra,0061458,int mobile
Australia Mobile Telstra,0061459,int mobile
Australia Mobile Telstra,0061460,int mobile
Australia Mobile Telstra,0061467,int mobile
Australia Mobile Telstra,0061472,int mobile
Australia Mobile Telstra,0061473,int mobile
Australia Mobile Telstra,0061474,int mobile
Australia Mobile Telstra,0061475,int mobile
Australia Mobile Telstra,0061476,int mobile
Australia Mobile Telstra,0061477,int mobile
Australia Mobile Telstra,00614801,int mobile
Australia Mobile Telstra,00614802,int mobile
Australia Mobile Telstra,00614824,int mobile
Australia Mobile Telstra,00614825,int mobile
Australia Mobile Telstra,00614826,int mobile
Australia Mobile Telstra,00614827,int mobile
Australia Mobile Telstra,00614828,int mobile
Australia Mobile Telstra,00614829,int mobile
Australia Mobile Telstra,00614830,int mobile
Australia Mobile Telstra,00614831,int mobile
Australia Mobile Telstra,00614832,int mobile
Australia Mobile Telstra,00614833,int mobile
Australia Mobile Telstra,00614838,int mobile
Australia Mobile Telstra,0061484,int mobile
Australia Mobile Telstra,0061486,int mobile
Australia Mobile Telstra,0061487,int mobile
Australia Mobile Telstra,00614880,int mobile
Australia Mobile Telstra,00614881,int mobile
Australia Mobile Telstra,00614882,int mobile
Australia Mobile Telstra,00614883,int mobile
Australia Mobile Telstra,00614884,int mobile
Australia Mobile Telstra,00614885,int mobile
Australia Mobile Telstra,00614886,int mobile
Australia Mobile Telstra,00614887,int mobile
Australia Mobile Telstra,00614889,int mobile
Australia Mobile Telstra,00614899,int mobile
Australia Mobile Telstra,0061490,int mobile
Australia Mobile Telstra,00614910,int mobile
Australia Mobile Telstra,00614911,int mobile
Australia Mobile Telstra,00614912,int mobile
Australia Mobile Telstra,00614913,int mobile
Australia Mobile Telstra,00614914,int mobile
Australia Mobile Telstra,00614916,int mobile
Australia Mobile Telstra,00614917,int mobile
Australia Mobile Telstra,00614918,int mobile
Australia Mobile Telstra,00614919,int mobile
Australia Mobile Telstra,0061492,int mobile
Australia Mobile Telstra,00614930,int mobile
Australia Mobile Telstra,00614931,int mobile
Australia Mobile Telstra,00614932,int mobile
Australia Mobile Telstra,00614933,int mobile
Australia Mobile Telstra,00614934,int mobile
Australia Mobile Telstra,0061497,int mobile
Australia Mobile Telstra,0061498,int mobile
Australia Mobile Telstra,0061499,int mobile
Australia Perth,0061861,int fixed
Australia Perth,0061862,int fixed
Australia Perth,0061863,int fixed
Australia Perth,0061864,int fixed
Australia Perth,0061865,int fixed
Australia Premium,006113,int premium
Australia Satellite,0061143,int satellite
Australia Satellite,0061145,int satellite
Australia Satellite,0061147,int satellite
Australia Sydney,006128,int fixed
Australia Sydney,006129,int fixed
Austria,0043,int fixed
Austria Corporate,004350,int fixed
Austria Corporate,0043517,int fixed
Austria Corporate,004357,int fixed
Austria Corporate,004359,int fixed
Austria Freephone,0043800,int fixed
Austria Mobile,0043644,int mobile
Austria Mobile,0043651,int mobile
Austria Mobile,0043652,int mobile
Austria Mobile,0043653,int mobile
Austria Mobile,0043655,int mobile
Austria Mobile,0043657,int mobile
Austria Mobile,0043659,int mobile
Austria Mobile,0043661,int mobile
Austria Mobile,0043663,int mobile
Austria Mobile,0043665,int mobile
Austria Mobile,0043666,int mobile
Austria Mobile,0043667,int mobile
Austria Mobile,0043668,int mobile
Austria Mobile,0043669,int mobile
Austria Mobile,004367,int mobile
Austria Mobile,004368,int mobile
Austria Mobile,004369,int mobile
Austria Mobile Hutchison,0043660,int mobile
Austria Mobile Hutchison,004367833,int mobile
Austria Mobile Hutchison,004367890,int mobile
Austria Mobile Hutchison,004367891,int mobile
Austria Mobile Hutchison,004368183,int mobile
Austria Mobile Hutchison,0043699,int mobile
Austria Mobile Telekom Austria,0043664,int mobile
Austria Mobile Telekom Austria,0043680,int mobile
Austria Mobile Telekom Austria,0043681,int mobile
Austria Mobile Telekom Austria,0043688,int mobile
Austria Mobile Telekom Austria,004369981,int mobile
Austria Mobile Telekom Austria,004369982,int mobile
Austria Mobile Telekom Austria,004369988,int mobile
Austria Mobile Telekom Austria,004369989,int mobile
Austria Mobile T-Mobile,0043650,int mobile
Austria Mobile T-Mobile,0043676,int mobile
Austria National,0043710,int premium
Austria National,0043711,int premium
Austria National,0043720,int premium
Austria National,0043730,int premium
Austria National,0043740,int premium
Austria National,0043780,int premium
Austria Services,0043718,int premium
Austria Services,0043810,int premium
Austria Services,0043820,int premium
Austria Services,0043821,int premium
Austria Services,0043821108,int premium
Austria Services,0043828,int premium
Austria Services,004386034,int premium
Austria Services,004386061,int premium
Austria Services,004386064,int premium
Austria Services,004386134,int premium
Austria Services,004386164,int premium
Austria Services,00438703411,int premium
Austria Services,00438706411,int premium
Austria Services,00438713411,int premium
Austria Services,00438716411,int premium
Austria Services,00439,int premium
Austria Vienna,00431,int fixed
Azerbaijan,00994,int fixed
Azerbaijan Mobile,009944,int mobile
Azerbaijan Mobile,009945,int mobile
Azerbaijan Mobile,009946,int mobile
Azerbaijan Mobile,009947,int mobile
Azerbaijan Mobile,0099488,int mobile
Azerbaijan Mobile,00994900,int mobile
Bahamas,001242,int fixed
Bahrain,00973,int fixed
Bahrain Mobile,00973136,int mobile
Bahrain Mobile,009733,int mobile
Bahrain Mobile,009736300,int mobile
Bahrain Mobile,009736333,int mobile
Bahrain Mobile,009736361,int mobile
Bahrain Mobile,009736366,int mobile
Bahrain Mobile,009736534,int mobile
Bahrain Mobile,009736535,int mobile
Bahrain Mobile,009736536,int mobile
Bahrain Mobile,009736537,int mobile
Bahrain Mobile,009736538,int mobile
Bahrain Mobile,009736539,int mobile
Bahrain Mobile,0097366,int mobile
Bahrain Mobile,009737111,int mobile
Bahrain Mobile,0097377,int mobile
Bahrain Mobile,0097383,int mobile
Bahrain Mobile,0097388,int mobile
Bahrain Mobile,009739,int mobile
Bangladesh,00880,int fixed
Bangladesh Mobile,008801,int mobile
Barbados,001246,int fixed
Barbados Mobile,00124623,int mobile
Barbados Mobile,00124624,int mobile
Barbados Mobile,00124625,int mobile
Barbados Mobile,00124626,int mobile
Barbados Mobile,00124628,int mobile
Barbados Mobile,00124644,int mobile
Barbados Mobile,00124645,int mobile
Barbados Mobile,00124652,int mobile
Barbados Mobile,00124653,int mobile
Barbados Mobile,00124654,int mobile
Barbados Mobile,00124682,int mobile
Barbados Mobile,00124683,int mobile
Barbados Mobile,00124684,int mobile
Barbados Mobile,00124685,int mobile
Belarus,00375,int fixed
Belarus Minsk,0037517,int fixed
Belarus Minsk,00375173,int fixed
Belarus Mobile,0037525,int mobile
Belarus Mobile,0037529,int mobile
Belarus Mobile,0037533,int mobile
Belarus Mobile,0037533344,int mobile
Belarus Mobile,0037544,int mobile
Belarus Mobile,00375777,int mobile
Belarus Special Services,00375064574477,int service
Belarus Special Services,00375064574516,int service
Belarus Special Services,00375064574992,int service
Belarus Special Services,00375106966,int service
Belarus Special Services,0037515117845,int service
Belarus Special Services,00375151195,int service
Belarus Special Services,0037515257316,int service
Belarus Special Services,0037515257328,int service
Belarus Special Services,0037515257360,int service
Belarus Special Services,0037515257364,int service
Belarus Special Services,0037515257365,int service
Belarus Special Services,003751545200,int service
Belarus Special Services,00375173112140,int service
Belarus Special Services,00375173112151,int service
Belarus Special Services,0037517311260,int service
Belarus Special Services,0037517311261,int service
Belarus Special Services,00375174824616,int service
Belarus Special Services,00375176380,int service
Belarus Special Services,00375176763,int service
Belarus Special Services,00375178952782,int service
Belarus Special Services,00375178954465,int service
Belarus Special Services,00375179521021,int service
Belarus Special Services,00375179553269,int service
Belarus Special Services,00375179580138,int service
Belarus Special Services,0037521356308,int service
Belarus Special Services,0037521356353,int service
Belarus Special Services,0037521356375,int service
Belarus Special Services,0037521356387,int service
Belarus Special Services,00375217820287,int service
Belarus Special Services,00375217820418,int service
Belarus Special Services,00375217820750,int service
Belarus Special Services,00375217820981,int service
Belarus Special Services,003752178210,int service
Belarus Special Services,003752178214,int service
Belarus Special Services,003752178250,int service
Belarus Special Services,00375217829217,int service
Belarus Special Services,00375229156,int service
Belarus Special Services,0037523512818,int service
Belarus Special Services,0037523512846,int service
Belarus Special Services,0037523637126,int service
Belarus Special Services,0037523637128,int service
Belarus Special Services,0037523637134,int service
Belarus Special Services,0037523637156,int service
Belarus Special Services,00375236559,int service
Belarus Special Services,0037526,int service
Belarus Special Services,00375333440,int service
Belarus Special Services,00375333441,int service
Belarus Special Services,00375333442,int service
Belarus Special Services,00375333443,int service
Belarus Special Services,00375602,int service
Belarus Special Services,00375740740,int service
Belarus Special Services,00375860000,int service
Belgium,0032,int fixed
Belgium Mobile,003246,int mobile
Belgium Mobile,0032463,int mobile
Belgium Mobile,00324654,int mobile
Belgium Mobile,00324655,int mobile
Belgium Mobile,00324656,int mobile
Belgium Mobile,00324657,int mobile
Belgium Mobile,00324658,int mobile
Belgium Mobile,00324665,int mobile
Belgium Mobile,00324666,int mobile
Belgium Mobile,00324667,int mobile
Belgium Mobile,00324669,int mobile
Belgium Mobile,00324671,int mobile
Belgium Mobile,00324800,int mobile
Belgium Mobile,00324802,int mobile
Belgium Mobile,00324803,int mobile
Belgium Mobile,003277,int mobile
Belgium Mobile Base,00324650,int mobile
Belgium Mobile Base,00324670,int mobile
Belgium Mobile Base,00324680,int mobile
Belgium Mobile Base,00324681,int mobile
Belgium Mobile Base,00324682,int mobile
Belgium Mobile Base,00324683,int mobile
Belgium Mobile Base,00324684,int mobile
Belgium Mobile Base,00324685,int mobile
Belgium Mobile Base,00324806,int mobile
Belgium Mobile Base,0032483,int mobile
Belgium Mobile Base,0032484,int mobile
Belgium Mobile Base,0032485,int mobile
Belgium Mobile Base,0032486,int mobile
Belgium Mobile Base,0032487,int mobile
Belgium Mobile Base,0032488,int mobile
Belgium Mobile Base,0032489,int mobile
Belgium Mobile Base,00327700020,int mobile
Belgium Mobile Lycamobile,00324659,int mobile
Belgium Mobile Lycamobile,00324660,int mobile
Belgium Mobile Lycamobile,00324661,int mobile
Belgium Mobile Lycamobile,00324662,int mobile
Belgium Mobile Lycamobile,00324663,int mobile
Belgium Mobile Lycamobile,00324664,int mobile
Belgium Mobile Medialaan,0032456,int mobile
Belgium Mobile Mobistar,00324673,int mobile
Belgium Mobile Mobistar,00324675,int mobile
Belgium Mobile Mobistar,003249,int mobile
Belgium Mobile Mobistar,0032770005,int mobile
Belgium Mobile Proximus,0032460,int mobile
Belgium Mobile Proximus,003247,int mobile
Belgium Mobile Proximus,0032770001,int mobile
Belgium Mobile VOO,0032455,int mobile
Belgium Personal Number,0032702,int service
Belgium Personal Number,0032703,int service
Belgium Personal Number,0032704,int service
Belgium Personal Number,0032706,int service
Belgium Personal Number,0032707,int service
Belgium Premium,003270,int premium
Belgium Premium,003278,int premium
Belgium Premium,0032800,int premium
Belgium Premium,003290,int premium
Belize,00501,int fixed
Belize Mobile,005016,int mobile
Benin,00229,int fixed
Benin Mobile,0022951,int mobile
Benin Mobile,0022952,int mobile
Benin Mobile,002296,int mobile
Benin Mobile,0022960,int mobile
Benin Mobile,0022963,int mobile
Benin Mobile,0022964,int mobile
Benin Mobile,0022965,int mobile
Benin Mobile,0022968,int mobile
Benin Mobile,002299,int mobile
Benin Mobile MTN,0022961,int mobile
Benin Mobile MTN,0022962,int mobile
Benin Mobile MTN,0022966,int mobile
Benin Mobile MTN,0022967,int mobile
Benin Mobile MTN,0022969,int mobile
Benin Mobile MTN,0022990,int mobile
Benin Mobile MTN,0022991,int mobile
Benin Mobile MTN,0022996,int mobile
Benin Mobile MTN,0022997,int mobile
Bermuda,001441,int fixed
Bhutan,00975,int fixed
Bolivia,00591,int fixed
Bolivia Mobile,005911,int mobile
Bolivia Mobile,005916,int mobile
Bolivia Mobile,005917,int mobile
Bosnia and Herzegovina,00387,int fixed
Bosnia and Herzegovina,00387302,int fixed
Bosnia and Herzegovina,00387305,int fixed
Bosnia and Herzegovina,003873061,int fixed
Bosnia and Herzegovina,003873072,int fixed
Bosnia and Herzegovina,003873083,int fixed
Bosnia and Herzegovina,00387322,int fixed
Bosnia and Herzegovina,00387324,int fixed
Bosnia and Herzegovina,00387325,int fixed
Bosnia and Herzegovina,00387326,int fixed
Bosnia and Herzegovina,00387327,int fixed
Bosnia and Herzegovina,003873280,int fixed
Bosnia and Herzegovina,003873281,int fixed
Bosnia and Herzegovina,003873282,int fixed
Bosnia and Herzegovina,003873284,int fixed
Bosnia and Herzegovina,003873285,int fixed
Bosnia and Herzegovina,003873286,int fixed
Bosnia and Herzegovina,003873287,int fixed
Bosnia and Herzegovina,0038733,int fixed
Bosnia and Herzegovina,0038735,int fixed
Bosnia and Herzegovina,00387362,int fixed
Bosnia and Herzegovina,00387365,int fixed
Bosnia and Herzegovina,003873672,int fixed
Bosnia and Herzegovina,003873673,int fixed
Bosnia and Herzegovina,003873674,int fixed
Bosnia and Herzegovina,003873675,int fixed
Bosnia and Herzegovina,003873678,int fixed
Bosnia and Herzegovina,0038737,int fixed
Bosnia and Herzegovina,0038738,int fixed
Bosnia and Herzegovina,0038749,int fixed
Bosnia and Herzegovina,00387495,int fixed
Bosnia and Herzegovina,003875,int fixed
Bosnia and Herzegovina,003877020,int fixed
Bosnia and Herzegovina Mobile,00387496,int mobile
Bosnia and Herzegovina Mobile,003876,int mobile
Bosnia and Herzegovina Mobile BIH,003876030,int mobile
Bosnia and Herzegovina Mobile BIH,003876031,int mobile
Bosnia and Herzegovina Mobile BIH,003876032,int mobile
Bosnia and Herzegovina Mobile BIH,003876033,int mobile
Bosnia and Herzegovina Mobile BIH,003876034,int mobile
Bosnia and Herzegovina Mobile BIH,003876035,int mobile
Bosnia and Herzegovina Mobile BIH,0038760360,int mobile
Bosnia and Herzegovina Mobile BIH,0038760361,int mobile
Bosnia and Herzegovina Mobile BIH,0038760362,int mobile
Bosnia and Herzegovina Mobile BIH,0038760363,int mobile
Bosnia and Herzegovina Mobile BIH,0038760364,int mobile
Bosnia and Herzegovina Mobile BIH,003876037,int mobile
Bosnia and Herzegovina Mobile BIH,003876038,int mobile
Bosnia and Herzegovina Mobile BIH,003876039,int mobile
Bosnia and Herzegovina Mobile BIH,0038760400,int mobile
Bosnia and Herzegovina Mobile BIH,0038760401,int mobile
Bosnia and Herzegovina Mobile BIH,0038760402,int mobile
Bosnia and Herzegovina Mobile BIH,0038760403,int mobile
Bosnia and Herzegovina Mobile BIH,0038760404,int mobile
Bosnia and Herzegovina Mobile BIH,0038761,int mobile
Bosnia and Herzegovina Mobile BIH,0038762,int mobile
Bosnia and Herzegovina Mobile Eronet,0038763,int mobile
Bosnia and Herzegovina Mobile Eronet,0038764,int mobile
Bosnia and Herzegovina Mobile SRPSKE,0038765,int mobile
Bosnia and Herzegovina Mobile SRPSKE,0038766,int mobile
Bosnia and Herzegovina Mobile SRPSKE,0038767,int mobile
Botswana,00267,int fixed
Botswana Mobile,002677,int mobile
Botswana Mobile MTN,0026771,int mobile
Botswana Mobile MTN,00267740,int mobile
Botswana Mobile MTN,00267741,int mobile
Botswana Mobile MTN,00267742,int mobile
Botswana Mobile MTN,00267745,int mobile
Botswana Mobile MTN,00267746,int mobile
Botswana Mobile MTN,00267747,int mobile
Botswana Mobile MTN,00267754,int mobile
Botswana Mobile MTN,00267755,int mobile
Botswana Mobile MTN,00267756,int mobile
Botswana Mobile MTN,00267759,int mobile
Botswana Mobile MTN,00267760,int mobile
Botswana Mobile MTN,00267761,int mobile
Botswana Mobile MTN,00267762,int mobile
Botswana Mobile MTN,00267766,int mobile
Botswana Mobile MTN,00267767,int mobile
Botswana Mobile MTN,00267770,int mobile
